GENE_SYMBOL,GENE ID (HGNC),DISEASE_LABEL,DISEASE ID (MONDO),MOI,SOP,CLASSIFICATION,ONLINE REPORT,CLASSIFICATION DATE,GCEP
FIG4,HGNC:16873,amyotrophic lateral sclerosis type 11,MONDO:0012945,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d038fb84-1f98-4047-b6c5-039a53756775-2022-08-09T160000.000Z,2022-08-09T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
FUS,HGNC:4010,amyotrophic lateral sclerosis type 6,MONDO:0011951,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b2e8f55b-371e-438f-8923-73ca9b7ec034-2021-10-12T183601.087Z,2021-10-12T18:36:01.087Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
GLT8D1,HGNC:24870,familial amyotrophic lateral sclerosis,MONDO:0005144,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a2c4f919-ccb5-4d9f-a604-5ed19e19057e-2022-11-08T170000.000Z,2022-11-08T17:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
HNRNPA2B1,HGNC:5033,amyotrophic lateral sclerosis,MONDO:0004976,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1ffe711b-1ff6-4b11-b329-c0f820904764-2021-12-15T185159.600Z,2021-12-15T18:51:59.600Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
KIF5A,HGNC:6323,"amyotrophic lateral sclerosis, susceptibility to, 25",MONDO:0060670,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5e7d2674-bce3-469c-b1e4-5cf57f5780a8-2022-05-26T110000.000Z,2022-05-26T11:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
MATR3,HGNC:6912,amyotrophic lateral sclerosis type 21,MONDO:0011632,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_97ed1e35-c1b2-40c7-a60e-54b3c24004c4-2021-09-23T160000.000Z,2021-09-23T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
NEK1,HGNC:7744,"amyotrophic lateral sclerosis, susceptibility to, 24",MONDO:0054750,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bb4f311c-df33-4d9e-8ac6-731b43b93615-2022-04-29T192526.542Z,2022-04-29T19:25:26.542Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
OPTN,HGNC:17142,amyotrophic lateral sclerosis type 12,MONDO:0013264,SD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1d8edc80-413c-4c76-bf06-89198175ac65-2022-05-10T170000.000Z,2022-05-10T17:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
PFN1,HGNC:8881,amyotrophic lateral sclerosis type 18,MONDO:0013891,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_948de40f-2cef-4235-ae87-491c01ffe803-2021-04-22T160000.000Z,2021-04-22T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
PRPH,HGNC:9461,amyotrophic lateral sclerosis,MONDO:0004976,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3d11b04d-508a-4f91-9d9a-b5016fd0b940-2022-12-13T170000.000Z,2022-12-13T17:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
SOD1,HGNC:11179,amyotrophic lateral sclerosis type 1,MONDO:0007103,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_97d17778-d21e-441f-b4b7-49eccaa8cbab-2021-07-13T192226.690Z,2021-07-13T19:22:26.690Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
SQSTM1,HGNC:11280,frontotemporal dementia and/or amyotrophic lateral sclerosis 3,MONDO:0014640,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dae3327f-6381-44cc-8baa-8fa1fc0d31d5-2022-12-13T170000.000Z,2022-12-13T17:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
TAF15,HGNC:11547,amyotrophic lateral sclerosis,MONDO:0004976,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_605446ae-fd1f-4451-bd49-643c24cd652e-2021-11-03T020945.214Z,2021-11-03T02:09:45.214Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
TARDBP,HGNC:11571,amyotrophic lateral sclerosis type 10,MONDO:0012790,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bf8bf781-25c9-4f16-b8cc-b0533390e4e2-2021-07-27T160623.437Z,2021-07-27T16:06:23.437Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
TBK1,HGNC:11584,frontotemporal dementia and/or amyotrophic lateral sclerosis 4,MONDO:0014641,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_509b9e29-d354-4974-96e9-e819c3fee579-2022-11-03T160000.000Z,2022-11-03T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
TIA1,HGNC:11802,amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,MONDO:0030885,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_555a0c95-2fb8-44d2-b2bf-c02b16d3fa6f-2022-10-11T170000.000Z,2022-10-11T17:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
TUBA4A,HGNC:12407,amyotrophic lateral sclerosis type 22,MONDO:0014531,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7349d6e4-f351-4a8a-80f6-af62d3e716e5-2021-09-14T191334.954Z,2021-09-14T19:13:34.954Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
UBQLN2,HGNC:12509,amyotrophic lateral sclerosis type 15,MONDO:0010459,XL,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_17c06f6e-6fe1-4a61-bc35-026416e31dbb-2021-04-13T194634.543Z,2021-04-13T19:46:34.543Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
VAPB,HGNC:12649,amyotrophic lateral sclerosis type 8,MONDO:0012077,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_da78d57d-1525-47b3-a649-743186d28eff-2021-12-15T183034.352Z,2021-12-15T18:30:34.352Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
VCP,HGNC:12666,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,MONDO:0000507,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6ea2bc4d-3b58-4b59-a5bc-9d8a96c452cb-2021-12-23T223510.433Z,2021-12-23T22:35:10.433Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
ACTB,HGNC:132,Baraitser-Winter cerebrofrontofacial syndrome,MONDO:0017579,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fa13dfad-ab93-4521-874a-5ede8f608fe4-2021-10-26T165835.977Z,2021-10-26T16:58:35.977Z,Brain Malformations
AHI1,HGNC:21575,Joubert syndrome 3,MONDO:0012078,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d0d8d22f-cea6-4f4f-bc71-e85303dccac1-2021-10-26T143345.589Z,2021-10-26T14:33:45.589Z,Brain Malformations
AKT3,HGNC:393,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes,MONDO:0100283,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_52b1df18-387f-4c38-a655-682e4d2eb378-2021-07-29T213439.431Z,2021-07-29T21:34:39.431Z,Brain Malformations
AKT3,HGNC:393,microcephaly,MONDO:0001149,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6e3b524c-5d27-43d6-a0db-4f8f7cf1f872-2021-10-26T150030.155Z,2021-10-26T15:00:30.155Z,Brain Malformations
CDK5RAP2,HGNC:18672,autosomal recessive primary microcephaly,MONDO:0016660,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_70dace84-4d61-44f5-9de5-a81b5c70cad4-2022-01-25T170000.000Z,2022-01-25T17:00:00.000Z,Brain Malformations
DCC,HGNC:2701,mirror movements 1 and/or agenesis of the corpus callosum,MONDO:0100515,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f923f025-a973-4af8-b2c2-00dc39ed3026-2022-07-26T160000.000Z,2022-07-26T16:00:00.000Z,Brain Malformations
DCX,HGNC:2714,lissencephaly spectrum disorders,MONDO:0018838,XL,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3b0d23d1-5ca6-4584-9d74-cf78ca21b0e1-2021-02-23T150911.296Z,2021-02-23T15:09:11.296Z,Brain Malformations
DISP1,HGNC:19711,holoprosencephaly,MONDO:0016296,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ef9d5a3b-d4ec-473b-b5a2-aaa25cf9babd-2022-09-27T090000.000Z,2022-09-27T09:00:00.000Z,Brain Malformations
DOCK6,HGNC:19189,Adams-Oliver syndrome,MONDO:0007034,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ea64d74c-583d-4ed1-af91-6a7c6f80a1d3-2022-06-28T160000.000Z,2022-06-28T16:00:00.000Z,Brain Malformations
KIF21A,HGNC:19349,congenital fibrosis of extraocular muscles,MONDO:0007614,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cc32bbc2-de76-42d0-8a6b-b3c3393ddd30-2021-10-26T144854.679Z,2021-10-26T14:48:54.679Z,Brain Malformations
KIF5C,HGNC:6325,complex cortical dysplasia with other brain malformations 2,MONDO:0014116,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c22eb3e1-4a72-480f-a360-20788fe1d9cd-2022-01-25T170000.000Z,2022-01-25T17:00:00.000Z,Brain Malformations
MTOR,HGNC:3942,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes,MONDO:0100283,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92ce0145-031d-41c4-8b74-0f9411629b64-2021-07-29T213256.506Z,2021-07-29T21:32:56.506Z,Brain Malformations
NEDD4L,HGNC:7728,periventricular nodular heterotopia 7,MONDO:0014966,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b131d46a-069b-4c2e-a290-e7df2519a2df-2021-11-30T170000.000Z,2021-11-30T17:00:00.000Z,Brain Malformations
PIK3CA,HGNC:8975,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes,MONDO:0100283,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c670e6ce-97b6-4383-bea6-5c216ab2a4a0-2021-07-29T213157.366Z,2021-07-29T21:31:57.366Z,Brain Malformations
PIK3R2,HGNC:8980,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes,MONDO:0100283,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fc9a451e-0e75-47d2-a090-a2409732c465-2021-07-29T213616.452Z,2021-07-29T21:36:16.452Z,Brain Malformations
PROK2,HGNC:18455,hypogonadotropic hypogonadism 4 with or without anosmia,MONDO:0012528,SD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2305ec95-325d-4ebe-9401-121705e49660-2022-03-22T160000.000Z,2022-03-22T16:00:00.000Z,Brain Malformations
PROKR2,HGNC:15836,hypogonadotropic hypogonadism 3 with or without anosmia,MONDO:0009482,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1ed279e5-f1a6-4f02-818e-e34aaf8c9947-2022-04-26T160000.000Z,2022-04-26T16:00:00.000Z,Brain Malformations
QARS1,HGNC:9751,diffuse cerebral and cerebellar atrophy - intractable seizures - progressive microcephaly syndrome,MONDO:0014335,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6b0cbc0e-c97c-4f6d-a351-0ac23a4ba8a5-2020-05-26T150033.131Z,2020-05-26T15:00:33.131Z,Brain Malformations
RAB3GAP1,HGNC:17063,Warburg micro syndrome,MONDO:0016649,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a1e4a47e-757a-442f-b82f-2ddfd69d0854-2020-05-26T160000.000Z,2020-05-26T16:00:00.000Z,Brain Malformations
ROBO3,HGNC:13433,"gaze palsy, familial horizontal, with progressive scoliosis 1",MONDO:0020790,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_257a59f3-1f00-4bd8-b255-793bc692bc9c-2022-07-12T170000.000Z,2022-07-12T17:00:00.000Z,Brain Malformations
TUBB2B,HGNC:30829,complex cortical dysplasia with other brain malformations,MONDO:0000904,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_81ced164-4ef1-4256-a727-84e79930efcc-2020-04-26T040000.000Z,2020-04-26T04:00:00.000Z,Brain Malformations
TUBG1,HGNC:12417,lissencephaly spectrum disorders,MONDO:0018838,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f773acb3-c59f-4c34-90f7-b5396b2dbfac-2022-04-26T160000.000Z,2022-04-26T16:00:00.000Z,Brain Malformations
WDR62,HGNC:24502,"microcephaly 2, primary, autosomal recessive, with or without cortical malformations",MONDO:0011435,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bdbcb9de-2ded-46a0-a6d0-16b34ea22008-2020-05-26T160000.000Z,2020-05-26T16:00:00.000Z,Brain Malformations
ADD3,HGNC:245,complex neurodevelopmental disorder with motor features,MONDO:0100516,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8a858435-3e50-406f-8ec3-9f4e40b1c392-2022-08-15T180000.000Z,2022-08-15T18:00:00.000Z,Cerebral Palsy
AP5Z1,HGNC:22197,hereditary spastic paraplegia,MONDO:0019064,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_020a234e-180c-4d9f-8f04-bd79eac6046e-2022-09-19T160000.000Z,2022-09-19T16:00:00.000Z,Cerebral Palsy
DDHD1,HGNC:19714,hereditary spastic paraplegia,MONDO:0019064,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0ba9bbb1-e36f-41db-9e56-23496613e46d-2022-12-01T200000.000Z,2022-12-01T20:00:00.000Z,Cerebral Palsy
EMC1,HGNC:28957,complex neurodevelopmental disorder with motor features,MONDO:0100516,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_659c7312-5d0a-44d0-9bd0-3e2b2ba385ce-2022-11-03T013000.000Z,2022-11-03T01:30:00.000Z,Cerebral Palsy
EMC1,HGNC:28957,complex neurodevelopmental disorder with motor features,MONDO:0100516,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ab319081-d3bf-436a-af1e-fce77cf8837a-2022-10-06T013000.000Z,2022-10-06T01:30:00.000Z,Cerebral Palsy
FITM2,HGNC:16135,Siddiqi syndrome,MONDO:0032842,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0a18aeda-fbe1-49b3-9542-6402ea61b4c0-2022-10-17T160000.000Z,2022-10-17T16:00:00.000Z,Cerebral Palsy
ARHGEF10,HGNC:14103,autosomal dominant slowed nerve conduction velocity,MONDO:0011998,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b23121f9-57e1-48ac-a2bc-d5a293829530-2020-10-05T160423.090Z,2020-10-05T16:04:23.090Z,Charcot-Marie-Tooth
ATL1,HGNC:11231,"neuropathy, hereditary sensory, type 1D",MONDO:0013381,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0c0282d1-5ab4-4a86-b1f6-165a3dbd515a-2022-02-10T020857.711Z,2022-02-10T02:08:57.711Z,Charcot-Marie-Tooth
ATL3,HGNC:24526,"neuropathy, hereditary sensory, type 1F",MONDO:0014286,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_132d0be7-2003-43ed-a934-1cf60cf45773-2021-07-13T160000.000Z,2021-07-13T16:00:00.000Z,Charcot-Marie-Tooth
ATP1A1,HGNC:799,"charcot-marie-tooth disease, axonal, type 2DD",MONDO:0054833,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_65182954-6603-4880-85fa-352700bd784b-2022-10-10T160000.000Z,2022-10-10T16:00:00.000Z,Charcot-Marie-Tooth
ATP7A,HGNC:869,X-linked distal spinal muscular atrophy type 3,MONDO:0010338,XL,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ec7c42f3-3cad-4020-aa75-cf103c5381ba-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
BSCL2,HGNC:15832,distal hereditary motor neuropathy,MONDO:0018894,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_02472719-c26d-40ff-8ad4-897ef7a6800a-2022-09-23T160000.000Z,2022-09-23T16:00:00.000Z,Charcot-Marie-Tooth
DNAJB2,HGNC:5228,Charcot-Marie-Tooth disease axonal type 2T,MONDO:0014866,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6d726e4f-6edb-4d04-b2ae-2cd05ecdd8db-2022-02-10T022350.942Z,2022-02-10T02:23:50.942Z,Charcot-Marie-Tooth
DNM2,HGNC:2974,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7bc54e5d-eed5-4d40-9e0d-143bfeb88cac-2020-10-27T131827.010Z,2020-10-27T13:18:27.010Z,Charcot-Marie-Tooth
DST,HGNC:1090,hereditary sensory and autonomic neuropathy type 6,MONDO:0013839,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d90c7de8-a72a-4c54-bab8-fe9d4aef0409-2021-12-14T170000.000Z,2021-12-14T17:00:00.000Z,Charcot-Marie-Tooth
EGR2,HGNC:3239,Charcot-Marie-Tooth disease,MONDO:0015626,SD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a6e83e27-0c9a-4475-92f5-745303931858-2021-11-17T033516.468Z,2021-11-17T03:35:16.468Z,Charcot-Marie-Tooth
FBXO38,HGNC:28844,distal hereditary motor neuropathy,MONDO:0018894,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_350c1f45-5afd-4f36-8973-94acaf7bb961-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
FGD4,HGNC:19125,Charcot-Marie-Tooth disease,MONDO:0015626,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e0aae8cd-9d57-4d8c-83ae-ed968cf186bc-2020-04-14T131822.010Z,2020-04-14T13:18:22.010Z,Charcot-Marie-Tooth
FIG4,HGNC:16873,Charcot-Marie-Tooth disease,MONDO:0015626,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cbc44812-5fe4-4e11-ac89-58e4175d4463-2021-09-23T003544.594Z,2021-09-23T00:35:44.594Z,Charcot-Marie-Tooth
GAN,HGNC:4137,giant axonal neuropathy 1,MONDO:0009749,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b9f65afa-5cb1-457e-abff-ab110145a32d-2022-02-10T021239.651Z,2022-02-10T02:12:39.651Z,Charcot-Marie-Tooth
GARS1,HGNC:4162,Charcot-Marie-Tooth disease type 2D,MONDO:0011091,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_168242d1-ef2e-486a-a45a-ed96187bd4d2-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
GDAP1,HGNC:15968,Charcot-Marie-Tooth disease,MONDO:0015626,SD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c6d93637-02f5-4f5d-b7a9-17356f084149-2020-07-28T144211.873Z,2020-07-28T14:42:11.873Z,Charcot-Marie-Tooth
GJB1,HGNC:4283,Charcot-Marie-Tooth disease X-linked dominant 1,MONDO:0010549,XL,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fcacd858-2376-4cc0-983a-156145e36595-2020-01-14T170000.000Z,2020-01-14T17:00:00.000Z,Charcot-Marie-Tooth
GNB4,HGNC:20731,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a8cecdd7-06d8-4697-8cd9-32900c366371-2020-04-14T132010.930Z,2020-04-14T13:20:10.930Z,Charcot-Marie-Tooth
HINT1,HGNC:4912,Charcot-Marie-Tooth disease,MONDO:0015626,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_170aae71-9b16-49b1-be29-44f98db2f72e-2021-03-22T201109.360Z,2021-03-22T20:11:09.360Z,Charcot-Marie-Tooth
HSPB1,HGNC:5246,Charcot-Marie-Tooth disease axonal type 2F,MONDO:0011687,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1bec365e-7832-41f1-89cc-48b8ab570c76-2022-08-03T160000.000Z,2022-08-03T16:00:00.000Z,Charcot-Marie-Tooth
HSPB8,HGNC:30171,autosomal dominant distal hereditary motor neuropathy,MONDO:0015362,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_044a2465-8e0a-44ff-8d00-1ec3a76183c8-2021-03-22T201855.441Z,2021-03-22T20:18:55.441Z,Charcot-Marie-Tooth
INF2,HGNC:23791,Charcot-Marie-Tooth disease dominant intermediate E,MONDO:0013758,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5215f2cf-99c9-405a-b221-18f412abd1f0-2021-03-22T202012.410Z,2021-03-22T20:20:12.410Z,Charcot-Marie-Tooth
KIF1B,HGNC:16636,Charcot-Marie-Tooth disease type 2A1,MONDO:0007308,AD,SOP7,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ae6ffeae-9609-47bf-89a9-4863cf6ef05c-2020-10-05T161930.420Z,2020-10-05T16:19:30.420Z,Charcot-Marie-Tooth
LITAF,HGNC:16841,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e7106097-314c-487a-9770-b7dea3f25f37-2020-04-07T160000.000Z,2020-04-07T16:00:00.000Z,Charcot-Marie-Tooth
MARS1,HGNC:6898,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8f042c42-893b-4c98-a719-0f778a54be43-2020-10-05T160651.479Z,2020-10-05T16:06:51.479Z,Charcot-Marie-Tooth
MED25,HGNC:28845,Charcot-Marie-Tooth disease type 2B2,MONDO:0011570,AR,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c0e0d66f-c68d-4df3-bab2-71afc448e4b0-2021-03-22T201527.084Z,2021-03-22T20:15:27.084Z,Charcot-Marie-Tooth
