GENE_SYMBOL,GENE_ID_HGNC,DISEASE_LABEL,DISEASE_ID_MONDO,MOI,SOP,CLASSIFICATION,ONLINE_REPORT,CLASSIFICATION_DATE,GCEP
ALDH7A1,HGNC:877,pyridoxine-dependent epilepsy,MONDO:0009945,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7a982307-d8bd-43d1-b356-ef7ee6f32045-2019-07-26T160000.000Z,2019-07-26T16:00:00.000Z,Aminoacidopathy
AMT,HGNC:473,glycine encephalopathy,MONDO:0011612,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a85e1b07-b975-4c92-b592-7b3e8d35805a-2019-05-24T160000.000Z,2019-05-24T16:00:00.000Z,Aminoacidopathy
ARG1,HGNC:663,hyperargininemia,MONDO:0008814,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0157f793-9232-4700-bbf0-dfb16270f688-2020-06-29T174101.533Z,2020-06-29T17:41:01.533Z,Aminoacidopathy
ASL,HGNC:746,argininosuccinic aciduria,MONDO:0008815,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c16021b9-f6db-4e41-90f3-4786d63a1fa3-2018-09-15T160000.000Z,2018-09-15T16:00:00.000Z,Aminoacidopathy
ASNS,HGNC:753,congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome,MONDO:0014258,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e1cea57d-fe02-469e-8c52-a383c3f5a0c6-2020-06-29T174449.301Z,2020-06-29T17:44:49.301Z,Aminoacidopathy
ASPA,HGNC:756,Canavan disease,MONDO:0010079,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_66306eff-659f-4508-a41b-1820e47e0e1d-2020-10-08T161701.633Z,2020-10-08T16:17:01.633Z,Aminoacidopathy
ASS1,HGNC:758,citrullinemia type I,MONDO:0008988,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5dc5ef32-81ca-478e-be42-436da3416e4d-2018-12-27T170000.000Z,2018-12-27T17:00:00.000Z,Aminoacidopathy
AUH,HGNC:890,3-methylglutaconic aciduria type 1,MONDO:0009610,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_681f6747-37ce-498e-8bb1-eddd55a90e2c-2020-06-29T174231.569Z,2020-06-29T17:42:31.569Z,Aminoacidopathy
BCAT2,HGNC:977,hypervalinemia and hyperleucine-isoleucinemia,MONDO:0100058,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b5e16ee6-88c9-4872-8681-dd7fd0156b0f-2020-07-24T172325.905Z,2020-07-24T17:23:25.905Z,Aminoacidopathy
BCKDHA,HGNC:986,maple syrup urine disease type 1A,MONDO:0023691,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5c89a6c7-751a-4a99-8a32-97cc33c5df7c-2018-09-14T160000.000Z,2018-09-14T16:00:00.000Z,Aminoacidopathy
BCKDHB,HGNC:987,maple syrup urine disease type 1B,MONDO:0023692,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0b0d314c-7355-441c-a357-72ba3e566c57-2019-02-08T170000.000Z,2019-02-08T17:00:00.000Z,Aminoacidopathy
BCKDK,HGNC:16902,branched-chain keto acid dehydrogenase kinase deficiency,MONDO:0013970,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f90aaad0-b56a-41dc-8d1f-9d12fc66113f-2019-01-18T170000.000Z,2019-01-18T17:00:00.000Z,Aminoacidopathy
CA5A,HGNC:1377,hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,MONDO:0014332,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f7c5731a-866e-4a96-abb0-f0747f89280b-2018-09-10T160000.000Z,2018-09-10T16:00:00.000Z,Aminoacidopathy
CBS,HGNC:1550,classic homocystinuria,MONDO:0009352,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a9086d29-767b-4ab8-9274-1249b5480834-2019-04-12T160000.000Z,2019-04-12T16:00:00.000Z,Aminoacidopathy
CPS1,HGNC:2323,carbamoyl phosphate synthetase I deficiency disease,MONDO:0009376,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dbc4dbbe-8827-4d68-a396-8368f3801e78-2018-10-12T160000.000Z,2018-10-12T16:00:00.000Z,Aminoacidopathy
CTH,HGNC:2501,cystathioninuria,MONDO:0009058,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2f5047f7-80ba-4b8f-8009-59d7130e63be-2019-06-14T160000.000Z,2019-06-14T16:00:00.000Z,Aminoacidopathy
DBT,HGNC:2698,maple syrup urine disease,MONDO:0009563,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cfd1ebde-e447-4877-977e-f5b9fe434adc-2018-10-30T160000.000Z,2018-10-30T16:00:00.000Z,Aminoacidopathy
DHTKD1,HGNC:23537,2-aminoadipic 2-oxoadipic aciduria,MONDO:0008774,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d6dd5de3-9819-432d-996c-12a66dff277f-2020-11-03T193815.515Z,2020-11-03T19:38:15.515Z,Aminoacidopathy
DLD,HGNC:2898,pyruvate dehydrogenase E3 deficiency,MONDO:0009529,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a9dfbbc2-cede-491e-9db0-fc5719fbc729-2019-03-08T170000.000Z,2019-03-08T17:00:00.000Z,Aminoacidopathy
DMGDH,HGNC:24475,dimethylglycine dehydrogenase deficiency,MONDO:0011610,AR,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b181250b-bc72-43b7-adec-5b85860b1a62-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
DNAJC12,HGNC:28908,hyperphenylalaninemia due to DNAJC12 deficiency,MONDO:0044304,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_500ad0d5-2871-4b25-a96f-0c0816524a4b-2021-01-11T184823.935Z,2021-01-11T18:48:23.935Z,Aminoacidopathy
FAH,HGNC:3579,tyrosinemia type I,MONDO:0010161,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_39c50699-f422-4bae-89ac-af13ef7cb8cc-2020-06-29T174149.440Z,2020-06-29T17:41:49.440Z,Aminoacidopathy
FMO3,HGNC:3771,trimethylaminuria,MONDO:0011182,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_18ed3960-c745-46f1-aecc-155e713d6ef5-2020-08-14T184718.502Z,2020-08-14T18:47:18.502Z,Aminoacidopathy
GAD1,HGNC:4092,obsolete early infantile epileptic encephalopathy,MONDO:0016021,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_20fdee08-81b0-4957-a18a-8f622e0ab054-2021-05-13T152239.014Z,2021-05-13T15:22:39.014Z,Aminoacidopathy
GAMT,HGNC:4136,guanidinoacetate methyltransferase deficiency,MONDO:0012999,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f0a84d45-57f8-4763-b1c5-7a283cef5f71-2019-01-25T170000.000Z,2019-01-25T17:00:00.000Z,Aminoacidopathy
GATM,HGNC:4175,AGAT deficiency,MONDO:0012996,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d63bfeff-882d-400f-af17-277a702fd09b-2019-03-08T170000.000Z,2019-03-08T17:00:00.000Z,Aminoacidopathy
GCDH,HGNC:4189,glutaryl-CoA dehydrogenase deficiency,MONDO:0009281,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_33a2c95e-a057-4b93-b97e-27b6597516e5-2019-11-08T170000.000Z,2019-11-08T17:00:00.000Z,Aminoacidopathy
GCH1,HGNC:4193,GTP cyclohydrolase I deficiency,MONDO:0100184,SD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ed6c1e6c-5856-48aa-aa8f-47328e6b09eb-2020-12-11T200937.286Z,2020-12-11T20:09:37.286Z,Aminoacidopathy
GLDC,HGNC:4313,glycine encephalopathy,MONDO:0011612,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_14d991f3-25f3-40c9-aacd-c1a008d9eaea-2019-02-06T170000.000Z,2019-02-06T17:00:00.000Z,Aminoacidopathy
GLS,HGNC:4331,glutaminase deficiency,MONDO:0600001,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1eedd351-1520-4354-9608-cf8d56ce9bd9-2021-07-09T170141.305Z,2021-07-09T17:01:41.305Z,Aminoacidopathy
GLS,HGNC:4331,"infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development",MONDO:0032685,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c0a699ec-3d67-4e18-a0da-464c2832c4ec-2021-07-09T170349.643Z,2021-07-09T17:03:49.643Z,Aminoacidopathy
GLUD1,HGNC:4335,hyperinsulinism-hyperammonemia syndrome,MONDO:0011717,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_924bd593-ba5a-49a5-bb71-8224271a713b-2020-11-13T170000.000Z,2020-11-13T17:00:00.000Z,Aminoacidopathy
GLUL,HGNC:4341,congenital brain dysgenesis due to glutamine synthetase deficiency,MONDO:0012393,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d71d7866-437d-48bd-8a98-21e67abdd917-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
GNMT,HGNC:4415,glycine N-methyltransferase deficiency,MONDO:0011698,AR,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cafb0200-f6cf-482d-9ffb-69ae7bc43669-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
GSS,HGNC:4624,inherited glutathione synthetase deficiency,MONDO:0017909,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_69a8e645-0e10-4ea9-8545-212ce9b0dcbf-2019-04-26T160000.000Z,2019-04-26T16:00:00.000Z,Aminoacidopathy
GSTZ1,HGNC:4643,maleylacetoacetate isomerase deficiency,MONDO:0060527,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8c287e0b-88be-4fbb-82a6-a8c70d430506-2022-09-09T160000.000Z,2022-09-09T16:00:00.000Z,Aminoacidopathy
HAAO,HGNC:4796,"vertebral, cardiac, renal, and limb defects syndrome 1",MONDO:0060554,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_89484d6b-0af1-4b77-9dcb-95c18331e3b7-2022-06-24T160000.000Z,2022-06-24T16:00:00.000Z,Aminoacidopathy
HAL,HGNC:4806,histidinemia,MONDO:0009345,AR,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c5764eb8-2aad-419e-be57-99f8c6859ebb-2020-09-25T165635.220Z,2020-09-25T16:56:35.220Z,Aminoacidopathy
HGD,HGNC:4892,alkaptonuria,MONDO:0008753,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5186836d-d9c6-4829-a0c9-59548460d6f2-2020-06-29T174125.541Z,2020-06-29T17:41:25.541Z,Aminoacidopathy
HIBCH,HGNC:4908,3-hydroxyisobutyryl-CoA hydrolase deficiency,MONDO:0009603,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_26621ace-7c6b-4a1c-8286-02c4cb8a1544-2019-11-07T222437.403Z,2019-11-07T22:24:37.403Z,Aminoacidopathy
HLCS,HGNC:4976,holocarboxylase synthetase deficiency,MONDO:0009666,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ad306285-9588-48e3-a6fa-183db3f01fe9-2021-02-26T171131.548Z,2021-02-26T17:11:31.548Z,Aminoacidopathy
HPD,HGNC:5147,hawkinsinuria,MONDO:0007700,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6819b0ea-9f21-4f91-ae92-133d97fcf87b-2020-06-26T171501.409Z,2020-06-26T17:15:01.409Z,Aminoacidopathy
HPD,HGNC:5147,tyrosinemia type III,MONDO:0010162,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_89eb4236-9243-490b-bc73-fb3b99675eb9-2020-06-29T173606.841Z,2020-06-29T17:36:06.841Z,Aminoacidopathy
IVD,HGNC:6186,isovaleric acidemia,MONDO:0009475,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_05f5d468-2f46-44f3-ba67-c4e708d2954f-2019-05-10T160000.000Z,2019-05-10T16:00:00.000Z,Aminoacidopathy
KYNU,HGNC:6469,"vertebral, cardiac, renal, and limb defects syndrome 2",MONDO:0060555,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_70d2f25f-b3f0-4f1b-b7bf-ad8d3562c959-2022-10-14T160000.000Z,2022-10-14T16:00:00.000Z,Aminoacidopathy
LMBRD1,HGNC:23038,methylmalonic aciduria and homocystinuria type cblF,MONDO:0010183,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_14c077fe-c0ff-43d5-8436-041db18b20b1-2021-03-26T160000.000Z,2021-03-26T16:00:00.000Z,Aminoacidopathy
MAT1A,HGNC:6903,methionine adenosyltransferase deficiency,MONDO:0009607,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_35cff382-98fe-4103-8edc-101f0c565a9e-2019-09-13T160000.000Z,2019-09-13T16:00:00.000Z,Aminoacidopathy
MCCC1,HGNC:6936,3-methylcrotonyl-CoA carboxylase deficiency,MONDO:0018950,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6bd0c545-9ef8-4005-a124-a73be6178745-2019-10-25T160000.000Z,2019-10-25T16:00:00.000Z,Aminoacidopathy
MCCC2,HGNC:6937,3-methylcrotonyl-CoA carboxylase deficiency,MONDO:0018950,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3653ea30-b630-499a-a6f0-65152106ad8c-2019-10-25T160000.000Z,2019-10-25T16:00:00.000Z,Aminoacidopathy
MCEE,HGNC:16732,methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,MONDO:0009615,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b8546531-fe3d-48fd-8103-f5f84fd04514-2020-07-09T160000.000Z,2020-07-09T16:00:00.000Z,Aminoacidopathy
MMAA,HGNC:18871,"methylmalonic aciduria, cblA type",MONDO:0009613,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b81bb9e-5f71-47bf-b187-5eef83d91d57-2022-07-13T160000.000Z,2022-07-13T16:00:00.000Z,Aminoacidopathy
MMAB,HGNC:19331,"methylmalonic aciduria, cblB type",MONDO:0009614,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_52b61ff5-afba-4ff7-adbc-51de6a837db7-2022-07-13T160000.000Z,2022-07-13T16:00:00.000Z,Aminoacidopathy
MMACHC,HGNC:24525,methylmalonic aciduria and homocystinuria type cblC,MONDO:0010184,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6feb4bda-539f-4592-acaf-26dc186e953a-2020-06-29T174303.503Z,2020-06-29T17:43:03.503Z,Aminoacidopathy
MMADHC,HGNC:25221,inborn disorder of cobalamin metabolism and transport,MONDO:0019220,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_40ec59af-a143-4424-9218-7fd75deb6a61-2021-05-12T182739.747Z,2021-05-12T18:27:39.747Z,Aminoacidopathy
MMUT,HGNC:7526,methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,MONDO:0009612,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3c5301da-0dad-417a-8257-5b1c6155e8fa-2019-05-09T160000.000Z,2019-05-09T16:00:00.000Z,Aminoacidopathy
MTHFR,HGNC:7436,homocystinuria due to methylene tetrahydrofolate reductase deficiency,MONDO:0009353,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cbfc5297-ed0d-4d7c-bca6-747114ed2b17-2019-06-18T160000.000Z,2019-06-18T16:00:00.000Z,Aminoacidopathy
MTR,HGNC:7468,methylcobalamin deficiency type cblG,MONDO:0009609,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1572b7da-1736-4a44-9420-d9734d53f950-2021-07-02T160000.000Z,2021-07-02T16:00:00.000Z,Aminoacidopathy
MTRR,HGNC:7473,methylcobalamin deficiency type cblE,MONDO:0009354,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_905575cf-cb80-4038-b82b-1de3ae1c469d-2021-07-02T160000.000Z,2021-07-02T16:00:00.000Z,Aminoacidopathy
NAGS,HGNC:17996,hyperammonemia due to N-acetylglutamate synthase deficiency,MONDO:0009377,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_33dcead1-e3d9-4427-98fd-05a655c8c213-2019-07-26T160000.000Z,2019-07-26T16:00:00.000Z,Aminoacidopathy
NAT8L,HGNC:26742,N-acetylaspartate deficiency,MONDO:0013549,AR,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_854ce0ef-7744-483d-87c7-b2dc436f9f0f-2020-10-23T171820.214Z,2020-10-23T17:18:20.214Z,Aminoacidopathy
OAT,HGNC:8091,ornithine aminotransferase deficiency,MONDO:0009796,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_edbab666-9ae6-46db-b818-809a4bf8333e-2019-07-10T160000.000Z,2019-07-10T16:00:00.000Z,Aminoacidopathy
OTC,HGNC:8512,ornithine carbamoyltransferase deficiency,MONDO:0010703,XL,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_132fafbf-bb34-447c-9f6a-65803679eeb8-2019-10-29T181325.783Z,2019-10-29T18:13:25.783Z,Aminoacidopathy
PAH,HGNC:8582,phenylketonuria,MONDO:0009861,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5a617cb4-94ec-4f34-b97e-10d9808a1581-2020-04-24T160000.000Z,2020-04-24T16:00:00.000Z,Aminoacidopathy
PCBD1,HGNC:8646,pterin-4 alpha-carbinolamine dehydratase 1 deficiency,MONDO:0009908,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d305c30f-50c1-491a-846f-4af6a2ad8aff-2021-07-27T160000.000Z,2021-07-27T16:00:00.000Z,Aminoacidopathy
PCCA,HGNC:8653,propionic acidemia,MONDO:0011628,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_32a55e25-8632-4f31-84af-3eaf8098ca18-2018-12-13T170000.000Z,2018-12-13T17:00:00.000Z,Aminoacidopathy
PCCB,HGNC:8654,propionic acidemia,MONDO:0011628,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1cd49a9b-08c2-49db-8e97-e334f171e34d-2018-12-13T170000.000Z,2018-12-13T17:00:00.000Z,Aminoacidopathy
PHGDH,HGNC:8923,neurometabolic disorder due to serine deficiency,MONDO:0018162,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f1b4e8da-d6e7-4494-abb0-f2953548a722-2020-06-29T174326.589Z,2020-06-29T17:43:26.589Z,Aminoacidopathy
PHYKPL,HGNC:28249,phosphohydroxylysinuria,MONDO:0014008,AR,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_82ba1358-e58c-4187-bbe7-0f1bf41267d0-2020-09-25T165428.427Z,2020-09-25T16:54:28.427Z,Aminoacidopathy
PPM1K,HGNC:25415,"maple syrup urine disease, mild variant",MONDO:0014057,AR,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d2b1c4d4-ca12-4456-afe0-f727106afeaf-2020-09-25T165546.698Z,2020-09-25T16:55:46.698Z,Aminoacidopathy
PRODH,HGNC:9453,hyperprolinemia type 1,MONDO:0009400,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5f28c677-a9b4-4bb3-9aed-14af97ad9896-2021-04-27T160000.000Z,2021-04-27T16:00:00.000Z,Aminoacidopathy
PRODH2,HGNC:17325,hydroxyprolinemia,MONDO:0009374,AR,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d9101c67-2635-4595-b9a8-8e749bba58d1-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
PSAT1,HGNC:19129,neurometabolic disorder due to serine deficiency,MONDO:0018162,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ca702099-7dc9-4434-b661-a6f9b8c72d5c-2020-06-29T165656.452Z,2020-06-29T16:56:56.452Z,Aminoacidopathy
PSPH,HGNC:9577,neurometabolic disorder due to serine deficiency,MONDO:0018162,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fa832956-c4e9-4620-a2e7-3d6d6e9eea8c-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
PTS,HGNC:9689,BH4-deficient hyperphenylalaninemia A,MONDO:0009863,AR,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f3f9b683-bd6b-4566-9341-ddd7195b5108-2017-12-22T170000.000Z,2017-12-22T17:00:00.000Z,Aminoacidopathy
PYCR1,HGNC:9721,autosomal recessive cutis laxa type 2B,MONDO:0013051,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ca242cd8-1f57-4c7b-ba97-5ec0c97b425b-2020-05-21T191607.864Z,2020-05-21T19:16:07.864Z,Aminoacidopathy
QDPR,HGNC:9752,dihydropteridine reductase deficiency,MONDO:0009862,AR,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3cd45f13-9412-4439-9b68-cf2e3d02a646-2018-06-18T160000.000Z,2018-06-18T16:00:00.000Z,Aminoacidopathy
SARDH,HGNC:10536,sarcosinemia,MONDO:0010008,AR,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2b994b6f-f296-45af-9d52-c1d0b211ef74-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
SELENBP1,HGNC:10719,extraoral halitosis due to methanethiol oxidase deficiency,MONDO:0029144,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fcd063e5-93af-47d2-a59d-3fef995df556-2022-11-11T170000.000Z,2022-11-11T17:00:00.000Z,Aminoacidopathy
SHMT2,HGNC:10852,"neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities",MONDO:0030866,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cf0af939-9015-47dd-bbcd-192114220334-2022-11-11T170000.000Z,2022-11-11T17:00:00.000Z,Aminoacidopathy
SLC1A1,HGNC:10939,dicarboxylic aminoaciduria,MONDO:0009110,AR,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fd6cc720-f37b-4abf-a887-8701ac805343-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
